,fraction,e_loss
0,0.606519229,0.846691633
1,0,0.83279784
2,0.047705345,-2.296029377
3,0.040604443,-3.174789521
4,0,-3.174956032
5,0.015141698,-3.238563145
6,0.01510649,-3.240526931
7,0.007669757,-3.82619973
8,0.013412691,-3.979939135
9,0.001785636,-3.980504007
10,0.005962801,-4.14639535
11,0.004936601,-4.147127724
12,0.01064442,-4.276257259
13,0.000162962,-4.276258251
14,0.004174854,-4.378547935
15,0.010122912,-4.389622203
16,0.000117523,-4.390125455
17,0.004212418,-4.526164877
18,0.002290631,-4.526519967
19,0.007768272,-4.587670582
20,2.28E-05,-4.587671078
21,0.007993441,-4.629245829
22,5.68E-06,-4.629549094
23,0.003163758,-4.642475562
24,0.00194543,-4.722635308
25,0.001052804,-4.722836287
26,0.003774215,-4.756732077
27,0.006846518,-4.775267837
28,1.95E-05,-4.77544563
29,0.002672337,-4.789286605
30,0.001640612,-4.8376361
31,0.000649836,-4.837758721
32,0.004973541,-4.858534628
33,0.006202139,-4.868164232
34,3.08E-05,-4.868274826
35,0.002364386,-4.879381329
36,0.001296493,-4.910771151
37,0.000396504,-4.910851988
38,0.004457299,-4.924515046
39,0.00581262,-4.930143433
40,3.37E-05,-4.930221543
41,0.002160407,-4.938644161
42,0.000856897,-4.96017042
43,0.00027419,-4.960226585
44,0.003780245,-4.969697489
45,0.005547153,-4.973246536
46,4.19E-05,-4.973318447
47,0.001945437,-4.979703385
48,0.000702382,-4.995103461
49,0.000185109,-4.995144004
50,0.003179283,-5.001979997
51,0.005360332,-5.004347227
52,4.83E-05,-5.004407483
53,0.001747873,-5.009320728
54,0.002522088,-5.025842986
55,0.005215956,-5.027499786
56,5.09E-05,-5.027532146
57,0.001445613,-5.031385575
58,0.002837412,-5.043978029
59,0.005194078,-5.045182288
60,0,-5.045207581
61,0.001259353,-5.048264163
62,0.005104813,-5.058984332
63,0,-5.059004417
64,0.001090408,-5.06146352
65,0.005005796,-5.069959784
66,0,-5.069976026
67,0.00094346,-5.071980355
68,0.004885417,-5.078828869
69,0,-5.078842136
70,0.000821149,-5.080495341
71,0.004736535,-5.086096823
72,0,-5.086107857
73,0.000712518,-5.087486065
74,0.004554684,-5.092126422
75,0,-5.092135597
76,0.000622697,-5.093295965
77,0.004352525,-5.097183365
78,0,-5.097191052
79,0.000547717,-5.098176602
80,0.004128156,-5.101465779
81,0,-5.10147235
82,0.000481151,-5.102316186
83,0.003891008,-5.105124056
84,0,-5.10512976
85,0.000424002,-5.105857423
86,0.00365418,-5.108273627
87,0,-5.108278586
88,0.000375891,-5.10891041
89,0.003415024,-5.111004503
90,0,-5.111008842
91,0.000333894,-5.111560944
92,0.003179159,-5.113387851
93,0,-5.11339157
94,0.000298008,-5.113876596
95,0.00295603,-5.115480084
96,0,-5.115483431
97,0.00026728,-5.115911797
98,0.00274423,-5.117326704
99,0,-5.11732968
100,0.000240128,-5.117709816
101,0.002547396,-5.118964784
102,0,-5.118967387
103,0.00021672,-5.119306236
104,0.002360887,-5.120424449
105,0,-5.120426805
106,0.00019581,-5.12073007
107,0.002185674,-5.121730747
108,0,-5.121732855
109,0.000177938,-5.122005372
110,0.00202557,-5.122904381
111,0,-5.122906241
112,0.000161775,-5.123152102
113,0.001878517,-5.123962834
114,0,-5.123964446
115,0.000147353,-5.124186998
116,0.001742876,-5.124920488
117,0,-5.1249221
118,0.000134729,-5.12512407
119,0.001618286,-5.125789989
120,0,-5.125791353
121,0.000123453,-5.125975346
122,0.001502755,-5.126581628
123,0,-5.126582992
124,0.000113548,-5.126750867
125,0.001397687,-5.12730458
126,0,-5.12730582
127,0.000104549,-5.12745956
128,0.001300288,-5.127966532
129,0,-5.127967524
130,9.65E-05,-5.128108618
131,0.001211548,-5.128574054
132,0,-5.128575046
133,8.93E-05,-5.128704858
134,0.001132205,-5.129133099
135,0,-5.129133967
136,8.26E-05,-5.129253612
137,0.001054743,-5.129648501
138,0,-5.129649369
139,7.69E-05,-5.129759963
140,0.000988153,-5.130124849
141,0,-5.130125716
142,7.11E-05,-5.130228003
143,0.000924119,-5.130565984
144,0,-5.130566728
145,6.63E-05,-5.1306617
146,0.000863107,-5.130975256
147,0,-5.130975876
148,6.20E-05,-5.131064153
149,0.000809583,-5.13135564
150,0,-5.13135626
151,5.76E-05,-5.131438337
152,0.000759584,-5.131709738
153,0,-5.131710358
154,5.42E-05,-5.131786981
155,0.000713285,-5.132040032
156,0,-5.132040652
157,5.08E-05,-5.132112191
158,0.000670689,-5.132348629
159,0,-5.132349125
160,4.75E-05,-5.132416076
161,0.000632071,-5.132637264
162,0,-5.13263776
163,4.46E-05,-5.132700372
164,0.000597586,-5.132907674
165,0,-5.13290817
166,4.20E-05,-5.132966938
167,0.000562585,-5.133161345
168,0,-5.133161841
169,3.95E-05,-5.133217014
170,0.000531816,-5.133399767
171,0,-5.133400139
172,3.72E-05,-5.133452088
173,0.000500739,-5.13362393
174,0,-5.133624302
175,3.52E-05,-5.133673152
176,0.000474021,-5.133835075
177,0,-5.133835447
178,3.32E-05,-5.133881446
179,0.000450339,-5.13403407
180,0,-5.134034442
181,3.14E-05,-5.13407796
182,0.000427388,-5.13422203
183,0,-5.134222402
184,2.98E-05,-5.134263441
185,0.000405209,-5.134399575
186,0,-5.134399947
187,2.82E-05,-5.134438754
188,0.000385208,-5.134567574
189,0,-5.134567946
190,2.67E-05,-5.134604645
191,0.000365113,-5.134726646
192,0,-5.134726894
193,2.54E-05,-5.134761857
194,0.000347698,-5.134877411
195,0,-5.134877659
196,2.41E-05,-5.134910762
197,0.00033114,-5.135020488
198,0,-5.135020736
199,2.30E-05,-5.135052104
200,0.000315454,-5.135156375
201,0,-5.135156499
202,2.18E-05,-5.135186379
203,0.000300167,-5.135285443
204,0,-5.13528569
205,2.08E-05,-5.135314083
206,0.000286707,-5.135408187
207,0,-5.135408435
208,1.98E-05,-5.135435463
209,0.000273191,-5.135525104
210,0,-5.135525352
211,1.90E-05,-5.135551141
212,0.000261525,-5.135636566
213,0,-5.13563669
214,1.80E-05,-5.135661239
215,0.000249348,-5.13574282
216,0,-5.135742944
217,1.72E-05,-5.135766377
218,0.000238561,-5.135844115
219,0,-5.135844239
220,1.65E-05,-5.13586668
221,0.000228208,-5.135940947
222,0,-5.135941071
223,1.58E-05,-5.135962396
224,0.000218788,-5.136033439
225,0,-5.136033563
226,1.51E-05,-5.136054021
227,0.000209823,-5.13612184
228,0,-5.136121964
229,1.45E-05,-5.136141553
230,0.000200833,-5.136206397
231,0,-5.136206521
232,1.39E-05,-5.136225243
233,0.000192302,-5.136287483
234,0,-5.136287607
235,1.33E-05,-5.13630546
236,0.000184713,-5.136365097
237,0,-5.136365221
238,1.28E-05,-5.136382331
239,0.000177589,-5.136439487
240,0,-5.136439611
241,1.22E-05,-5.136456101
242,0.000170448,-5.136510778
243,0,-5.136510902
244,1.18E-05,-5.136526772
245,0.000163773,-5.136579342
246,0,-5.136579466
247,1.13E-05,-5.136594592
248,0.000157569,-5.136645053
249,0,-5.136645177
250,1.09E-05,-5.136659807
251,0.000151839,-5.136708285
252,0,-5.136708409
253,1.05E-05,-5.136722419
254,0.000146099,-5.136769037
255,0,-5.136769161
256,1.01E-05,-5.136782676
257,0.00014035,-5.136827434
258,0,-5.136827558
259,9.69E-06,-5.136840576
260,0.000135559,-5.136883723
261,0,-5.136883847
262,0.001239321,-5.569826225
263,0,-6.175392289
264,0,-6.186309097
